t,theta
0.0,3.8871073165022145
0.005,3.9055150859568424
0.01,3.9239228554114702
0.015,3.933126740138784
0.02,3.9469325672297546
0.025,3.9668743174722683
0.03,3.988350048502667
0.035,4.00829179874518
0.04,4.0297675297755795
0.045,4.052777241593864
0.05,4.075786953412148
0.055,4.0987966652304335
0.06,4.1248743386244895
0.065,4.14941803123066
0.07,4.175495704624716
0.075,4.201573378018771
0.08,4.2291850322007125
0.085,4.2552627055947685
0.09,4.2813403789888245
0.095,4.305884071594995
0.1,4.331961744989051
0.105,4.354971456807335
0.11,4.379515149413505
0.115,4.400990880443905
0.12,4.422466611474303
0.125,4.442408361716817
0.13,4.459282150383559
0.135,4.477689919838187
0.14,4.493029727717043
0.145,4.508369535595899
0.15,4.520641381898985
0.155,4.532913228202069
0.16,4.542117112929383
0.165,4.5497870168688115
0.17,4.555922940020355
0.17500000000000002,4.560524882384011
0.18,4.565126824747668
0.185,4.565126824747668
0.19,4.565126824747668
0.195,4.563592843959783
0.2,4.560524882384011
0.20500000000000002,4.554388959232469
0.21,4.548253036080926
0.215,4.540583132141498
0.22,4.531379247414184
0.225,4.519107401111099
0.23,4.508369535595899
0.23500000000000001,4.494563708504929
0.24,4.4807578814139575
0.245,4.463884092747215
0.25,4.447010304080473
0.255,4.431670496201617
0.26,4.413262726746989
0.265,4.3933209765044765
0.27,4.374913207049849
0.275,4.354971456807335
0.28,4.335029706564822
0.28500000000000003,4.315087956322309
0.29,4.29361222529191
0.295,4.2721364942615105
0.3,4.250660763231112
0.305,4.2291850322007125
0.31,4.207709301170314
0.315,4.1877675509278
0.32,4.167825800685287
0.325,4.14941803123066
0.33,4.129476280988146
0.335,4.111068511533518
0.34,4.094194722866776
0.34500000000000003,4.07885491498792
0.35000000000000003,4.063515107109064
0.355,4.048175299230207
0.36,4.034369472139236
0.365,4.023631606624037
0.37,4.011359760320952
0.375,4.002155875593638
0.38,3.992951990866324
0.385,3.9868160677147815
0.39,3.9806801445632387
0.395,3.9760782021995817
0.4,3.9730102406238106
0.405,3.9699422790480394
0.41000000000000003,3.9699422790480394
0.41500000000000004,3.971476259835925
0.42,3.9730102406238106
0.425,3.9776121829874675
0.43,3.9822141253511245
0.435,3.988350048502667
0.44,3.9960199524420954
0.445,4.005223837169409
0.45,4.014427721896723
0.455,4.025165587411922
0.46,4.035903452927122
0.465,4.048175299230207
0.47000000000000003,4.061981126321178
0.47500000000000003,4.074252972624263
0.48,4.08959278050312
0.485,4.104932588381976
0.49,4.118738415472946
0.495,4.135612204139688
0.5,4.150952012018545
0.505,4.167825800685287
0.51,4.184699589352029
0.515,4.2031073588066565
0.52,4.219981147473399
0.525,4.236854936140141
0.53,4.253728724806883
0.535,4.270602513473625
0.54,4.287476302140367
0.545,4.304350090807109
0.55,4.319689898685965
0.555,4.335029706564822
0.56,4.348835533655793
0.5650000000000001,4.362641360746763
0.5700000000000001,4.374913207049849
0.5750000000000001,4.387185053352934
0.58,4.397922918868133
0.585,4.407126803595447
0.59,4.416330688322761
0.595,4.424000592262189
0.6,4.431670496201617
0.605,4.43780641935316
0.61,4.442408361716817
0.615,4.4454763232925885
0.62,4.448544284868359
0.625,4.450078265656245
0.63,4.450078265656245
0.635,4.448544284868359
0.64,4.447010304080473
