t,theta
0.0,3.6048548515312566
0.005,3.6232626209858845
0.01,3.6416703904405123
0.015,3.667748063834568
0.02,3.6922917564407385
0.025,3.7168354490469087
0.03,3.7475150648046216
0.035,3.77972866135022
0.04,3.811942257895818
0.045,3.848757796805074
0.05,3.885573335714329
0.055,3.9254568361993556
0.06,3.9638063558964967
0.065,4.006757817957295
0.07,4.048175299230207
0.075,4.091126761291005
0.08,4.1340782233518025
0.085,4.180097646988372
0.09,4.224583089837056
0.095,4.269068532685739
0.1,4.312019994746537
0.105,4.358039418383107
0.11,4.399456899656019
0.115,4.440874380928931
0.12,4.479223900626073
0.125,4.519107401111099
0.13,4.554388959232469
0.135,4.588136536565953
0.14,4.620350133111551
0.145,4.649495768081378
0.15,4.67710742226332
0.155,4.703185095657376
0.16,4.72619480747566
0.165,4.746136557718174
0.17,4.764544327172802
0.17500000000000002,4.778350154263772
0.18,4.792155981354743
0.185,4.8013598660820564
0.19,4.8074957892336
0.195,4.812097731597256
0.2,4.812097731597256
0.20500000000000002,4.81056375080937
0.21,4.805961808445714
0.215,4.7998258852941715
0.22,4.790622000566858
0.225,4.778350154263772
0.23,4.763010346384916
0.23500000000000001,4.746136557718174
0.24,4.72619480747566
0.245,4.706253057233147
0.25,4.681709364626977
0.255,4.657165672020807
0.26,4.628020037050979
0.265,4.600408382869038
0.27,4.568194786323439
0.275,4.537515170565727
0.28,4.503767593232243
0.28500000000000003,4.468486035110873
0.29,4.433204476989503
0.295,4.397922918868133
0.3,4.361107379958878
0.305,4.322757860261737
0.31,4.287476302140367
0.315,4.24759280165534
0.32,4.210777262746085
0.325,4.172427743048944
0.33,4.137146184927574
0.335,4.100330646018318
0.34,4.06811704947272
0.34500000000000003,4.034369472139236
0.35000000000000003,4.0036898563815235
0.355,3.9730102406238106
0.36,3.9438646056539834
0.365,3.9131849898962705
0.37,3.8886412972901003
0.375,3.8625636238960444
0.38,3.8410878928656453
0.385,3.8196121618352463
0.39,3.8027383731685043
0.395,3.785864584501762
0.4,3.7720587574107918
0.405,3.761320891895592
0.41000000000000003,3.752117007168278
0.41500000000000004,3.745981084016736
0.42,3.741379141653079
0.425,3.739845160865193
0.43,3.741379141653079
0.435,3.745981084016736
0.44,3.7505830263803928
0.445,3.758252930319821
0.45,3.76899079583502
0.455,3.77972866135022
0.46,3.795068469229076
0.465,3.811942257895818
0.47000000000000003,3.830350027350446
0.47500000000000003,3.8502917775929593
0.48,3.873301489411244
0.485,3.8978451820174143
0.49,3.9223888746235844
0.495,3.950000528805526
0.5,3.9791461637753534
0.505,4.00829179874518
0.51,4.038971414502893
0.515,4.069651030260606
0.52,4.101864626806204
0.525,4.1340782233518025
0.53,4.167825800685287
0.535,4.200039397230886
0.54,4.235320955352255
0.545,4.269068532685739
0.55,4.301282129231338
0.555,4.335029706564822
0.56,4.365709322322535
0.5650000000000001,4.396388938080247
0.5700000000000001,4.428602534625846
0.5750000000000001,4.456214188807787
0.58,4.483825842989729
0.585,4.509903516383785
0.59,4.532913228202069
0.595,4.555922940020355
0.6,4.577398671050753
0.605,4.595806440505381
0.61,4.612680229172123
0.615,4.628020037050979
0.62,4.640291883354065
0.625,4.651029748869264
0.63,4.660233633596578
0.635,4.667903537536006
0.64,4.6709714991117774
0.645,4.674039460687549
0.65,4.674039460687549
0.655,4.672505479899663
0.66,4.669437518323892
0.665,4.6617676143844635
0.67,4.655631691232921
0.675,4.6448938257177215
0.68,4.632621979414636
0.685,4.6188161523236655
0.6900000000000001,4.603476344444809
0.6950000000000001,4.585068574990181
0.7000000000000001,4.5666608055355535
0.705,4.546719055293041
0.71,4.525243324262641
0.715,4.502233612444357
0.72,4.4807578814139575
0.725,4.453146227232017
0.73,4.428602534625846
0.735,4.40252486123179
0.74,4.374913207049849
0.745,4.348835533655793
0.75,4.321223879473851
0.755,4.292078244504024
0.76,4.264466590322082
0.765,4.236854936140141
0.77,4.207709301170314
0.775,4.181631627776258
0.78,4.154019973594316
0.785,4.129476280988146
0.79,4.10339860759409
0.795,4.07885491498792
0.8,4.0558452031696355
0.805,4.034369472139236
0.81,4.0128937411088375
0.8150000000000001,3.992951990866324
0.8200000000000001,3.9745442214116964
0.8250000000000001,3.9561364519570685
0.8300000000000001,3.9407966440782123
